Date Time,Open,High,Low,Close,Volume
2016-11-03 00:00:00,8.93,9.09,8.82,8.91, 15737
2016-11-04 00:00:00,8.95,8.98,8.8,8.81, 14318
2016-11-07 00:00:00,8.83,8.98,8.83,8.93, 11358
2016-11-08 00:00:00,9.12,9.13,8.9,8.9, 17390
2016-11-09 00:00:00,8.95,8.99,8.36,8.42, 24922
2016-11-10 00:00:00,8.85,9.08,8.75,8.9, 27687
2016-11-11 00:00:00,8.86,9.04,8.7,8.83, 17909
2016-11-14 00:00:00,8.9,8.93,8.73,8.78, 13639
2016-11-15 00:00:00,8.84,8.87,8.76,8.78, 7223
2016-11-16 00:00:00,9.0,9.49,8.96,9.21, 55177
2016-11-17 00:00:00,9.28,9.28,9.1,9.12, 20578
2016-11-18 00:00:00,9.19,9.19,9.05,9.09, 13119
2016-11-21 00:00:00,9.23,9.37,9.17,9.29, 21984
2016-11-22 00:00:00,9.41,9.5,9.21,9.28, 28787
2016-11-23 00:00:00,9.3,9.4,9.07,9.11, 20053
2016-11-24 00:00:00,9.2,9.2,9.06,9.13, 10056
2016-11-25 00:00:00,9.2,9.27,9.08,9.23, 12165
2016-11-28 00:00:00,9.28,9.29,9.17,9.21, 9367
2016-11-29 00:00:00,9.28,9.68,9.22,9.51, 51952
2016-11-30 00:00:00,9.48,9.59,9.35,9.43, 33326
2016-12-01 00:00:00,9.75,10.35,9.75,10.1, 134281
2016-12-02 00:00:00,10.05,10.2,9.99,10.1, 43951
2016-12-05 00:00:00,10.05,10.1,9.83,9.83, 27693
2016-12-06 00:00:00,9.99,10.2,9.93,9.98, 32517
2016-12-07 00:00:00,10.05,10.15,9.95,9.96, 20542
2016-12-08 00:00:00,9.95,9.96,9.82,9.9, 20527
2016-12-09 00:00:00,9.99,10.2,9.96,9.98, 28935
2016-12-12 00:00:00,10.2,10.2,10.0,10.0, 22608
2016-12-13 00:00:00,10.1,10.75,9.95,10.5, 86484
2016-12-14 00:00:00,10.5,10.6,10.4,10.4, 31308
2016-12-15 00:00:00,10.25,10.45,10.2,10.4, 21550
2016-12-16 00:00:00,10.5,10.75,10.4,10.5, 38319
2016-12-19 00:00:00,10.5,10.55,10.1,10.15, 26533
2016-12-20 00:00:00,10.2,10.35,10.0,10.2, 19545
